"CODMUNDV";"Zona";"LAT";"LONG";"NOME_MUNIC";"NOME_UF";"UF";"REG";"CENTR";"RM";"MUN_HIS_TUR";"POP_2010";"POP_URB_10";"POP_2015";"POP_2016";"TXC_POP_10_16";"AREA";"DENS_2016";"PREF_12";"PART_12";"PREF_16";"PART_16";"ANTEN_TOTAL";"AREA_URB";"PIB";"PIB_PER_CAP";"PRIN_ATIVIDADE";"REC_TOTAL";"REC_PROP";"Perc.receitpropria";"DESP_TCU";"RENDA";"VEIC_2016";"AUTO_2016";"MOTO_2016";"VEIC_2010";"AUTO_2010";"MOTO_2010";"TXC_AUTO_10_16";"TXC_MOTO_10_16";"ACESS";"PAV";"CAL";"ARB";"LOGR";"TX_ACID_TRAN";"IDH";"PD";"PD_ANO";"PDMU";"VEIC_HAB";"MOTO_HAB";"AUTO_HAB"
3504107;901;-23,12085811;-46,56484817;"Atibaia";"SÃO PAULO";"SP";"Sudeste";"";"MR Bragança";1;126603;"91%";137187;138449;0,020274989;478,4;289,4000836;"SAULO PEDROSO DE SOUZA";"PSD";"SAULO PEDROSO DE SOUZA";"PSB";93;101,34;4701014,214;34934,37629;"Serviços";422699175,4;290057674,1;"0,686203548";"";1021,743119;101223;69458;23521;69905;47041;17469;0,081058375;0,061298493;0,009877415;"44%";0,422889615;0,429900993;0,465030649;"29,43448986";0,765;"Sim";"2006";"Sim";0,731121207087086;0,169889273306416;0,501686541614602
3507100;902;-23,13284863;-46,46545454;"Bom Jesus Dos Perdões";"SÃO PAULO";"SP";"Sudeste";"";"MR Bragança";1;19708;"88%";23025;23530;0,039655059;107,6;218,6802974;"EDUARDO HENRIQUE MASSEI";"PV";"SERGIO FERREIRA";"PSDB";8;4,81;439637,6717;20005,35456;"Serviços";72822860,29;40814284,87;"0,560459788";"";884,3040426;13178;8852;3070;7910;5148;2008;0,114501285;0,088616552;0,00140056;"73%";0,726437315;0,841147432;0,586060953;"22,2143238";0,713;"Não";"-";"Não";0,560050998725032;0,130471738206545;0,376200594985125
3507605;900;-22,94946906;-46,53882126;"Bragança Paulista";"SÃO PAULO";"SP";"Sudeste";"Centro Subregional B";"MR Bragança";1;146744;"97%";160665;162435;0,022916612;512,6;316,8845103;"FERNÃO DIAS DA SILVA LEME";"PT";"JESUS ADIB ABI CHEDID";"DEM";70;29,81;4312883,156;27471,46824;"Serviços";437188130,8;268508688;"0,614171953";"";840,0309718;115051;75269;31890;80013;51901;22941;0,077179511;0,068091441;0,015178132;"64%";0,609480722;0,479559977;0,605349879;"21,40303168";0,776;"Sim";"1991";"Sim";0,708289469634007;0,196324683719642;0,463379197832979
3525508;903;-22,92949111;-46,2746977;"Joanópolis";"SÃO PAULO";"SP";"Sudeste";"Centro Local";"MR Bragança";1;11768;"100%";12725;12837;0,019738421;375,1;34,2228739;"ADAUTO BATISTA DE OLIVEIRA";"PT";"MAURO APARECIDO GARCIA BANHOS";"DEM";7;0;150060,3852;12012,51883;"Serviços";34336279,37;11525947,41;"0,335678403";"Não informado";761,8448;8731;5597;2393;5581;3590;1499;0,092879228;0,098065415;0,007019455;"52%";0,490778097;0,371563688;0,402568939;"23,79064235";0,699;"Não";"-";"Sem informação";0,680143335670328;0,186414271247176;0,436005297187816
3532405;904;-23,16587225;-46,39473721;"Nazaré Paulista";"SÃO PAULO";"SP";"Sudeste";"";"MR Bragança";1;16414;"85%";17794;17959;0,0203867;325,9;55,10586069;"JOAQUIM DA CRUZ JUNIOR";"PT";"CANDIDO MURILO PINHEIRO RAMOS";"PSDB";23;2,53;291184,007;16685,80637;"Serviços";45946115,92;18891313,13;"0,411162353";"Não informado";568,7761905;10672;6840;2592;6424;3915;1734;0,118059374;0,083720231;0,00044843;"25%";0,17515911;0,201703414;0,136744571;"11,34751773";0,678;"Sim";"2006";"Sem informação";0,594242441115875;0,144328748816749;0,380867531599755
3536802;905;-22,79679609;-46,44365116;"Pedra Bela";"SÃO PAULO";"SP";"Sudeste";"Centro Local";"MR Bragança";0;5780;"25%";6044;6062;0,011228158;158,6;38,22194199;"JORGE HIRODI ORITA";"DEM";"ALVARO JESIEL DE LIMA";"PSDB";5;0;63474,66679;10563,26623;"Serviços";17749648,18;5506522,67;"0,310232778";"Não informado";609,8082353;3536;2185;996;2126;1251;645;0,117992336;0,090786928;0,008304446;"13%";0,097490959;0,042323564;0,103236843;"33,18400531";0,677;"Sim";"2007";"Sem informação";0,583305839656879;0,164302210491587;0,360442098317387
3538204;906;-22,78379708;-46,59085815;"Pinhalzinho";"SÃO PAULO";"SP";"Sudeste";"Centro Local";"MR Bragança";1;13105;"49%";14423;14595;0,024246868;154,5;94,46601942;"ANDERSON LUIS PEREIRA";"PV";"BENEDITO LAURO DE LIMA";"DEM";10;0;203690,3072;14480,01047;"Serviços";34032519,07;11255273,73;"0,330721147";"Não informado";658,7246667;8262;5865;1596;5050;3420;1083;0,113905587;0,08063962;0,000621118;"34%";0,316950779;0,325169628;0,241385896;"35,09510774";0,725;"Não";"-";"Sem informação";0,566084275436793;0,109352517985612;0,401849948612539
3538600;907;-23,05287742;-46,35936002;"Piracaia";"SÃO PAULO";"SP";"Sudeste";"";"MR Bragança";1;25116;"100%";26688;26841;0,015292992;385;69,71688312;"TEREZINHA DAS GRAÇAS DA SILVEIRA PEÇANHA";"PSDB";"JOSE SILVINO CINTRA";"PSB";13;3,77;364053,3304;13805,06353;"Serviços";77195090,86;41064825,13;"0,531961614";"Não informado";683,6455556;16365;10398;4712;10359;6365;3169;0,103139107;0,082571547;0,001401337;"55%";0,489296952;0,211712568;0,372027306;"33,92130258";0,739;"Sim";"2007";"Não";0,609701575947245;0,175552326664431;0,387392422040908
3554953;908;-22,81704679;-46,69364694;"Tuiuti";"SÃO PAULO";"SP";"Sudeste";"Centro Local";"MR Bragança";0;5930;"50%";6533;6612;0,024505965;126,7;52,18626677;"JAIR FERNANDES GONÇALVES";"DEM";"JAIR FERNANDES GONÇALVES";"DEM";5;0;103316,5081;16221,77863;"Serviços";19660996,76;5823408,39;"0,296190903";"Não informado";651,1433333;2992;1966;769;1802;1079;548;0,12748926;0,070111808;0,012141071;"33%";0,284278712;0,144704377;0,254295516;"15,49907006";0,728;"Sim";"1996";"Sem informação";0,452510586811857;0,116303690260133;0,297338173018754
3556354;909;-22,89019059;-46,41447341;"Vargem";"SÃO PAULO";"SP";"Sudeste";"Centro Local";"MR Bragança";0;8801;"50%";9854;10000;0,02865593;142,8;70,0280112;"ALDO FRANCELINO MOYSES";"DEM";"SILAS MARQUES DA ROSA";"PSD";8;0;93817,51311;9823,823362;"Serviços";22203496,11;6790346,21;"0,305823289";"Não informado";642,56375;5379;3741;1076;3198;2159;647;0,116212838;0,10708661;0,001811594;"24%";0,221633453;0,244665356;0,250753827;"51,52514427";0,699;"Sim";"2000";"Sem informação";0,5379;0,1076;0,3741
